"tam_yol","goreli_yol","dosya_adi","boyut_byte","boyut_okunabilir","son_degisim","uzanti","kategori","gerekli_mi"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\import_users.js","import_users.js","import_users.js","6214","6,07 KB","2026-03-05T11:54:14",".js","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\inspect_xlsx.js","inspect_xlsx.js","inspect_xlsx.js","902","902 B","2026-03-12T13:36:35",".js","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Mapcoded.png","Mapcoded.png","Mapcoded.png","121066","118,23 KB","2024-12-11T15:18:24",".png","image_export","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\paper_draft.html","paper_draft.html","paper_draft.html","22711","22,18 KB","2026-02-26T12:12:38",".html","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\pdf_content.txt","pdf_content.txt","pdf_content.txt","8103","7,91 KB","2026-03-18T23:50:05",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\QUICK_START.md","QUICK_START.md","QUICK_START.md","1909","1,86 KB","2025-11-22T03:48:55",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\README_DATABASE.md","README_DATABASE.md","README_DATABASE.md","5304","5,18 KB","2025-11-22T03:48:55",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\read_docx.py","read_docx.py","read_docx.py","545","545 B","2026-02-26T11:06:03",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\requirements.txt","requirements.txt","requirements.txt","16","16 B","2026-03-28T02:32:17",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\supabase-schema-bmxifvjafsmbmkoqesls.png","supabase-schema-bmxifvjafsmbmkoqesls.png","supabase-schema-bmxifvjafsmbmkoqesls.png","115949","113,23 KB","2026-02-26T13:15:23",".png","image_export","False"
